,
,
,
,
,Dis-
,"charge,"
Date,"ft3/s,"
,(Mean)
,
10/01/1939,"11,000A  "
10/02/1939,"6,900A  "
10/03/1939,"8,400A  "
10/04/1939,"8,400A  "
10/05/1939,"7,000A  "
10/06/1939,"11,900A  "
10/07/1939,"10,100A  "
10/08/1939,"5,600A  "
10/09/1939,"6,900A  "
10/10/1939,"6,900A  "
10/11/1939,"11,000A  "
10/12/1939,"11,900A  "
10/13/1939,"11,000A  "
10/14/1939,"8,300A  "
10/15/1939,"10,100A  "
10/16/1939,"7,000A  "
10/17/1939,"10,100A  "
10/18/1939,"9,200A  "
10/19/1939,"4,300A  "
10/20/1939,"9,200A  "
10/21/1939,"8,300A  "
10/22/1939,"11,000A  "
10/23/1939,"5,500A  "
10/24/1939,"8,300A  "
10/25/1939,"5,600A  "
10/26/1939,"13,700A  "
10/27/1939,"12,700A  "
10/28/1939,"37,700A  "
10/29/1939,"38,800A  "
10/30/1939,"42,700A  "
10/31/1939,"39,500A  "
11/01/1939,"34,300A  "
11/02/1939,"21,100A  "
11/03/1939,"14,600A  "
11/04/1939,"18,800A  "
11/05/1939,"18,800A  "
11/06/1939,"17,100A  "
11/07/1939,"10,900A  "
11/08/1939,"9,200A  "
11/09/1939,"13,700A  "
11/10/1939,"17,100A  "
11/11/1939,"24,000A  "
11/12/1939,"20,400A  "
11/13/1939,"15,400A  "
11/14/1939,"20,500A  "
11/15/1939,"18,700A  "
11/16/1939,"14,500A  "
11/17/1939,"14,500A  "
11/18/1939,"16,200A  "
11/19/1939,"11,000A  "
11/20/1939,"15,500A  "
11/21/1939,"11,800A  "
11/22/1939,"14,000A  "
11/23/1939,"12,700A  "
11/24/1939,"14,500A  "
11/25/1939,"11,000A  "
11/26/1939,"11,800A  "
11/27/1939,"11,800A  "
11/28/1939,"11,000A  "
11/29/1939,"10,000A  "
11/30/1939,"9,100A  "
12/01/1939,"9,100A  "
12/02/1939,"9,200A  "
12/03/1939,"10,100A  "
12/04/1939,"13,800A  "
12/05/1939,"12,700A  "
12/06/1939,"28,700A  "
12/07/1939,"30,300A  "
12/08/1939,"24,200A  "
12/09/1939,"25,700A  "
12/10/1939,"22,800A  "
12/11/1939,"28,200A  "
12/12/1939,"24,300A  "
12/13/1939,"27,100A  "
12/14/1939,"35,000A  "
12/15/1939,"29,200A  "
12/16/1939,"31,600A  "
12/17/1939,"33,500A  "
12/18/1939,"29,200A  "
12/19/1939,"25,300A  "
12/20/1939,"34,600A  "
12/21/1939,"38,100A  "
12/22/1939,"61,200A  "
12/23/1939,"78,000A  "
12/24/1939,"68,400A  "
12/25/1939,"32,700A  "
12/26/1939,"31,400A  "
12/27/1939,"30,500A  "
12/28/1939,"27,600A  "
12/29/1939,"25,400A  "
12/30/1939,"23,100A  "
12/31/1939,"24,600A  "
01/01/1940,"20,900A  "
01/02/1940,"16,900A  "
01/03/1940,"12,600A  "
01/04/1940,"13,400A  "
01/05/1940,"21,800A  "
01/06/1940,"31,800A  "
01/07/1940,"35,500A  "
01/08/1940,"30,800A  "
01/09/1940,"26,400A  "
01/10/1940,"17,100A  "
01/11/1940,"19,800A  "
01/12/1940,"18,700A  "
