,
,
,
,
,Dis-
,"charge,"
Date,"ft3/s,"
,(Mean)
,
03/01/1940,"52,000A  "
03/02/1940,"54,800A  "
03/03/1940,"93,200A  "
03/04/1940,"174,000A  "
03/05/1940,"223,000A  "
03/06/1940,"206,000A  "
03/07/1940,"181,000A  "
03/08/1940,"152,000A  "
03/09/1940,"132,000A  "
03/10/1940,"108,000A  "
03/11/1940,"78,900A  "
03/12/1940,"55,000A  "
03/13/1940,"42,800A  "
03/14/1940,"48,800A  "
03/15/1940,"53,200A  "
03/16/1940,"56,800A  "
03/17/1940,"54,900A  "
03/18/1940,"40,100A  "
03/19/1940,"76,400A  "
03/20/1940,"105,000A  "
03/21/1940,"157,000A  "
03/22/1940,"137,000A  "
03/23/1940,"113,000A  "
03/24/1940,"100,000A  "
03/25/1940,"79,400A  "
03/26/1940,"35,900A  "
03/27/1940,"48,700A  "
03/28/1940,"45,800A  "
03/29/1940,"50,900A  "
03/30/1940,"78,700A  "
03/31/1940,"141,000A  "
04/01/1940,"236,000A  "
04/02/1940,"276,000A  "
04/03/1940,"256,000A  "
04/04/1940,"214,000A  "
04/05/1940,"210,000A  "
04/06/1940,"228,000A  "
04/07/1940,"205,000A  "
04/08/1940,"194,000A  "
04/09/1940,"157,000A  "
04/10/1940,"152,000A  "
04/11/1940,"167,000A  "
04/12/1940,"164,000A  "
04/13/1940,"174,000A  "
04/14/1940,"188,000A  "
04/15/1940,"165,000A  "
04/16/1940,"158,000A  "
04/17/1940,"152,000A  "
04/18/1940,"166,000A  "
04/19/1940,"210,000A  "
04/20/1940,"312,000A  "
04/21/1940,"361,000A  "
04/22/1940,"369,000A  "
04/23/1940,"342,000A  "
04/24/1940,"265,000A  "
04/25/1940,"180,000A  "
04/26/1940,"154,000A  "
04/27/1940,"122,000A  "
04/28/1940,"101,000A  "
04/29/1940,"83,900A  "
04/30/1940,"63,400A  "
05/01/1940,"59,900A  "
05/02/1940,"57,200A  "
05/03/1940,"54,600A  "
05/04/1940,"55,200A  "
05/05/1940,"54,700A  "
05/06/1940,"30,000A  "
05/07/1940,"30,000A  "
05/08/1940,"30,000A  "
05/09/1940,"30,000A  "
05/10/1940,"30,000A  "
05/11/1940,"30,000A  "
05/12/1940,"30,000A  "
05/13/1940,"30,000A  "
05/14/1940,"30,000A  "
05/15/1940,"30,000A  "
05/16/1940,"25,500A  "
05/17/1940,"25,500A  "
05/18/1940,"25,500A  "
05/19/1940,"25,500A  "
05/20/1940,"25,500A  "
05/21/1940,"25,500A  "
05/22/1940,"45,200A  "
05/23/1940,"49,300A  "
05/24/1940,"48,800A  "
05/25/1940,"70,200A  "
05/26/1940,"79,900A  "
05/27/1940,"90,500A  "
05/28/1940,"94,200A  "
05/29/1940,"93,300A  "
05/30/1940,"86,400A  "
05/31/1940,"101,000A  "
06/01/1940,"136,000A  "
06/02/1940,"173,000A  "
06/03/1940,"151,000A  "
06/04/1940,"107,000A  "
06/05/1940,"89,000A  "
06/06/1940,"62,600A  "
06/07/1940,"40,500A  "
06/08/1940,"45,800A  "
06/09/1940,"39,000A  "
06/10/1940,"55,300A  "
06/11/1940,"56,900A  "
06/12/1940,"78,600A  "
