,
,
,
,
,Dis-
,"charge,"
Date,"ft3/s,"
,(Mean)
,
10/01/1974,"20,400A  "
10/02/1974,"20,000A  "
10/03/1974,"19,200A  "
10/04/1974,"23,900A  "
10/05/1974,"23,500A  "
10/06/1974,"20,600A  "
10/07/1974,"16,800A  "
10/08/1974,"19,600A  "
10/09/1974,"18,000A  "
10/10/1974,"16,600A  "
10/11/1974,"14,700A  "
10/12/1974,"15,100A  "
10/13/1974,"15,500A  "
10/14/1974,"14,100A  "
10/15/1974,"13,700A  "
10/16/1974,"16,500A  "
10/17/1974,"24,300A  "
10/18/1974,"29,800A  "
10/19/1974,"24,400A  "
10/20/1974,"18,000A  "
10/21/1974,"18,200A  "
10/22/1974,"14,700A  "
10/23/1974,"16,600A  "
10/24/1974,"18,100A  "
10/25/1974,"18,400A  "
10/26/1974,"18,200A  "
10/27/1974,"16,400A  "
10/28/1974,"14,900A  "
10/29/1974,"15,400A  "
10/30/1974,"16,800A  "
10/31/1974,"16,900A  "
11/01/1974,"17,700A  "
11/02/1974,"17,400A  "
11/03/1974,"16,400A  "
11/04/1974,"14,300A  "
11/05/1974,"22,800A  "
11/06/1974,"39,300A  "
11/07/1974,"40,000A  "
11/08/1974,"37,900A  "
11/09/1974,"34,300A  "
11/10/1974,"30,200A  "
11/11/1974,"25,200A  "
11/12/1974,"30,600A  "
11/13/1974,"39,600A  "
11/14/1974,"43,300A  "
11/15/1974,"45,600A  "
11/16/1974,"44,900A  "
11/17/1974,"43,100A  "
11/18/1974,"39,700A  "
11/19/1974,"35,900A  "
11/20/1974,"37,500A  "
11/21/1974,"50,300A  "
11/22/1974,"60,100A  "
11/23/1974,"69,600A  "
11/24/1974,"71,500A  "
11/25/1974,"71,100A  "
11/26/1974,"79,300A  "
11/27/1974,"94,000A  "
11/28/1974,"92,000A  "
11/29/1974,"82,900A  "
11/30/1974,"75,000A  "
12/01/1974,"84,600A  "
12/02/1974,"88,100A  "
12/03/1974,"98,500A  "
12/04/1974,"97,700A  "
12/05/1974,"82,100A  "
12/06/1974,"69,200A  "
12/07/1974,"63,600A  "
12/08/1974,"77,400A  "
12/09/1974,"127,000A  "
12/10/1974,"139,000A  "
12/11/1974,"122,000A  "
12/12/1974,"106,000A  "
12/13/1974,"99,500A  "
12/14/1974,"97,000A  "
12/15/1974,"88,200A  "
12/16/1974,"96,100A  "
12/17/1974,"106,000A  "
12/18/1974,"113,000A  "
12/19/1974,"102,000A  "
12/20/1974,"92,400A  "
12/21/1974,"83,700A  "
12/22/1974,"76,100A  "
12/23/1974,"72,200A  "
12/24/1974,"68,000A  "
12/25/1974,"82,200A  "
12/26/1974,"108,000A  "
12/27/1974,"130,000A  "
12/28/1974,"124,000A  "
12/29/1974,"111,000A  "
12/30/1974,"106,000A  "
12/31/1974,"99,400A  "
01/01/1975,"112,000A  "
01/02/1975,"137,000A  "
01/03/1975,"140,000A  "
01/04/1975,"121,000A  "
01/05/1975,"108,000A  "
01/06/1975,"100,000A  "
01/07/1975,"83,400A  "
01/08/1975,"78,900A  "
01/09/1975,"76,100A  "
01/10/1975,"92,300A  "
01/11/1975,"102,000A  "
01/12/1975,"97,700A  "
